candidate,frequency,sample_product_names
Scan,23,Scan Cassava Chips Hot & Spicy | Scan Hot & Spicy Mixture | Scan Jumbo Peanuts | Scan Jumbo Peanuts Chilli
Mr.,23,Mr. Pop Cass/Chip Cheese&Onion | Mr. Pop Cassava Chips Barbeque | Mr. Pop Classic Original Snack | Mr. Pop Manioc Chips 45G Spicy
Kumarika,23,"Kumarika Hair Oil Hair Fall Control | Kumarika Healthy & Black Shampoo Karapincha & Blackseed | Kumarika Strong Hair Conditioner, Gotukola & Coconut Oil | Kumarika Strong Hair Shampoo Gotukola & Coconut Oil"
Earth Essence,23,Earth  Essence Moisturizer Body Lotion Exotic | Earth Essence Face Cream Herbal | Earth Essence Face Wash Herbal | Earth Essence Hair Shampoo
Lipton,23,Lipton Ceylonta Tea Bags 100S | Lipton Green Tea Pure | Lipton Gt Honey And Lemon | Lipton Gt Peach And Cinnomon
Kvc,23,Kvc Coconut Treackle | Kvc Jam Mixed Fruit | Kvc Jam Strawbery Flav. Melon | Kvc Tomato Paste
Kellogg'S,23,Kellogg'S Chocos | Kellogg'S Corn Flakes Real Almond Honey | Kellogg'S Millet Muesli | Kellogg'S Real Honey Cornflakes 300G Buy 1 Get 1 Free
Sobako,23,Sobako Corn Rice Porridge | Sobako Horse Gram Porridge | Sobako Mavee Rice | Sobako Suwandel Rice
Ma`S,22,Ma`S Biriyani Masala | Ma`S Colombo Chicken Curry Paste | Ma`S Red Hot Curry Paste | Ma`S Yellow Rice Paste
Khao,22,Khao Shong 3 In 1 Cappuccino | Khao Shong 3 In 1 Super Rich Coffee Mix | Khao Shong Coffee | Khao Shong Coffee Mix Mocha Coffee
Khao Shong,22,Khao Shong 3 In 1 Cappuccino | Khao Shong 3 In 1 Super Rich Coffee Mix | Khao Shong Coffee | Khao Shong Coffee Mix Mocha Coffee
Eva,22,Eva Cotton Feel Wings | Eva Dritex Heavy Flow Wings | Eva Dritex Ultra Thin Wings | Eva Dritex Wings
Siddhalepa,22,Siddhalepa Ayur Natural Asamodagam Spirit | Siddhalepa Balm | Siddhalepa Lak Peyawa | Siddhalepa Supirivicky Toothpaste
Enchanteur,22,Enchanteur Perfumed Deo Roll-On Alluring | Enchanteur Perfumed Deo Roll-On Charming | Enchanteur Perfumed Deo Roll-On Romantic | Enchanteur Talc Romantic
Royal,21,Royal Chef Poori | Royal Chilli Garlic Cashew Nuts | Royal Gala Apple | Royal Hot & Spicy Cashew Nuts
Yeti,21,Yeti Bcaa Isotonic Drink Berry Flavoured | Yeti Isotonic Green Mango And Citrus | Yeti Isotonic Pomegranate | Yeti Vitamin Orange Drink
Fanta,21,Fanta Cream Soda-Pet | Fanta Orange-Pet | Fanta Portello Pet | Fanta Portello-Pet
Samaposha,21,Samaposha | Samaposha Cereal | Samaposha Cereal Choxy 180G | Samaposha Choxy Cereal
Bio,21,Bio Clean Tile And Surface Cleaner Cinnamon | Bio Clean Tile And Surface Cleaner Kohomba | Bio Clean Toilet Cleaner Citrus | Bio Clean Toilet Cleaner Floral
Turkey,21,Turkey Canola Oil | Turkey Corn Oil | Turkey Pure Coconut Oil | Turkey Sunflower Oil
Rexona,21,Rexona Aloe Fresh Roll-On Deodorant | Rexona Powder Dry Roll-On Deodorant | Rexona Shower Clean Deo Spray | Rexona Sports Defence Roll-On Deodorant
Velvet,21,"Velvet Body Lotion, All Day Fresh | Velvet Body Wash, Wild Rose & Cherry Blossom | Velvet Soap Orange And Honey | Velvet Soap Rose Petals And Milk Multi Pack,350G"
Sobada,21,Sobada Ayurveda Dasa Panguwa | Sobada Polpala | Sobada Ranawara Mal | Sobada Venivel Geta
La Treats,21,La Treats Caribbean Rum Dark Chocolate | La Treats Fruit & Nut Chocolate | La Treats Pomace Brandy Milk Chocolate | La Treats White Chocolate
Suhana,21,Suhana Asafoetida Black | Suhana Biryani Masala | Suhana Butter Chicken Mix | Suhana Chicken Biriyani Mix
Pears Baby,20,Pears Baby Cologne Dolphin Dew | Pears Baby Cream Pure & Gentle | Pears Baby Cream Rathmal | Pears Baby Pink Floral Cologne
Sun,20,Sun Crush Imper. Tonic Water | Sun Crush Imperial Club Soda | Sun Crush Original Bitter Lemon | Sun Crush Sparkling Green Apple Drink
Fontana,20,Fontana Apple Juice | Fontana Cranberry Juice | Fontana Orange Juice | Fontana Pomegranate Drink
Fragata,20,Fragata Black Olives | Fragata Capers In Vinegar | Fragata Olive Oil | Fragata Whole Green Olives
Surf,20,"Surf Excel Laundry Detergent Powder, Comfort | Surf Excel Matic Front Load Liquid Detergent | Surf Excel Matic Front Load Liquid Detergent Refill Pouch | Surf Excel Matic Top Load Detergent Powder"
Lysol,20,Lysol Citrus Disinfectant | Lysol Citrus Surface Cleaner | Lysol Floral Disinfectant | Lysol Lavender Surface Cleaner
Araliya,20,Araliya Broken Keeri Samba | Araliya Premium Nadu Rice | Araliya Supiri Red Raw Rice | Araliya Supiri White Raw Rice
Pedigree,20,Pedigree Adult Chicken & Vegetable Food | Pedigree Adult Chicken Liver Chunks | Pedigree Puppy Chicken & Milk Foods | Pedigree Puppy Chicken Milk Food
